"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,0.747946859903382,0.731452455590387,0.713235294117647,0.717443731612333,0.73406862745098,0.750466081513234,0.746724553922119,0.806591500433651,0.78125,0.780729166666667,0.852564102564103,0.86042379573572,0.844907407407407,0.828125,0.791855203619909,0.77281679672984,0.770509977827051,0.783475783475784,0.7996632996633,0.761136712749616,0.781096512770137,0.797905926891736,0.781659388646288,0.777777777777778,0.78804347826087,0.777777777777778,0.787253388320139,0.799285714285714,0.798346747149564,0.78389475448299,0.785133812361508,0.805050505050505,0.803125,0.789473684210526,0.7996632996633,0.797825740681746,0.783699059561129,0.777777777777778,0.785024154589372,0.78125,0.779504338456304,0.773411371237458,0.778369520688242,0.783475783475784,0.784635587655942,0.78125,0.801533494753834,0.826312110171998,0.833333333333333,0.825942350332594,0.833333333333333,0.83654070445533,0.833333333333333,0.839920948616601,0.876531362165922,0.910045034730173,0.914378875750044,0.897905759162304,0.952380952380952,0.950363196125908,0.920505871725384,0.927574171029668,0.957894736842105,0.960136217948718,0.975584415584416,0.975429827103255,1.02461033634126,0.971458653357151,1.01520086862106,1.04304763843648,0.912878787878788,0.99375,0.986159169550173,0.926860478490913,1.01455133387227,1.00733216044734,1.04166666666667,1.10059523809524,1.10740040959047,1.1,1.11875,1.14766201804758,1.14766201804758,1.1854273723878,1.15672306322351,1.14642262895175,1.12068965517241,1.15481781376518,1.3,1.3,1.3,1.3,1.3,1.3,1.3
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.801282051282051,0.803225518682775,0.909763313609467,0.925925925925926,0.893844867507075,0.934394632717168,0.946745562130177,0.867765799699105,0.973581213307241,0.865800865800866,0.902366863905325,0.747816593886463,0.850413234957676,0.917159763313609,0.84493041749503,0.914127423822715,0.944196428571429,0.943582510578279,0.944589350979729,0.954268292682927,0.961977186311787,0.911542610571737,0.898605830164765,0.895006029856196,0.896437468429995,0.898701298701299,0.898701298701299,0.903966954575071,0.93951093951094,0.899299258037923,0.899350649350649
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06807866868381,5.23156089193825,5.23076923076923,5.20801282051282,5.2030813241773,5.20115797428637,5.1285930408472,5.15384615384615,5.17156862745098,5.23952095808383,5.297580117724,5.24268149041914,5.24019098845976,5.24105528154542,5.21762785636562,5.22388059701493,5.22307692307692,5.24192025975987,5.25516102394715,5.25,5.24691358024691,5.27256750279597,5.27295304033715,5.27272727272727,5.2,4.71358922767373,5.15151515151515,5.11163337250294,5.06182238760937,5,4.99004080118694,5.02158784748519,5.18461725690641,5.20628683693517,5.16129032258065,5.19187254675595,5.15477214101462,5.16038249712522,5.125,5.07665598290598,5.10237388724036,5.1212873067242,5.09581881533101,5.07672684458399,5.04641734762937,5.00944131959468,5.12669939577039,5.20698957231374,5.14174757281553,5.07732468752669
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,1.50107219442459,1.55649289782969,1.56229720960415,1.56428571428571,1.59520348837209,1.56428571428571,1.5625,1.56576200417537,1.59305418719212,1.62054054054054,1.63218390804598,1.65991902834008,1.65098163709496,1.62054054054054,1.64929278358365,1.73333333333333,1.72111111111111,1.75882352941176,1.73537663921927,1.80769230769231,1.78571428571429,1.78343949044586,1.76470588235294,1.72117696531935,1.67927260532894,1.67647058823529,1.68620689655172,1.71113332976646,1.6795814479638,1.68539325842697,1.69218482156771,1.70370304448815,1.725,1.74418604651163,1.78392857142857,1.82642235853496,1.84307692307692,1.89873417721519,1.89991653915705,1.92307692307692,1.83150365934797,1.88888888888889,1.85428571428571,1.80319715007215,1.84846989141165,1.86353246078102,1.92307692307692,1.94660734149055,1.991875,1.95878389393034,1.9554347826087,2.02564102564103,2.01923076923077,2.07371428571429,2,1.99826086956522,2.04173913043478,2.01231802130006,2.05,1.99583333333333,2.10166051660517,2.06818181818182,1.99893933183029,2.07547169811321,2.07905701754386,1.98018166804294,1.96666666666667,2.03390988297159,2.13461538461538,2.21052631578947,2.17257785003005,2.21142857142857,2.16923076923077,2.1900566740909,2.24375,2.29166666666667,2.22474736188703,2.30303729991606,2.295,2.28285714285714,2.27777777777778,2.33055555555556,2.37565051020408,2.41256569517439,2.4,2.47291100778049,2.3426265590609
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,0.622353937341236,0.640394088669951,0.660535117056856,0.649913344887348,0.636246786632391,0.655107778819119,0.6875,0.68,0.67524143680956,0.66735112936345,0.66735112936345,0.675675675675676,0.677944454559757,0.658051318716238,0.645342312008979,0.656,0.660428785428785,0.676545300592718,0.670840787119857,0.670330109811003,0.675,0.675,0.668906536346976,0.649350649350649,0.65206299494009,0.640279394644936,0.635454545454545,0.635055038103302,0.635055038103302,0.644654791741258,0.648693265687166,0.644067796610169,0.642437591776799,0.655387422059503,0.649350649350649,0.640394088669951,0.643153526970954,0.642270460545615,0.649675324675325,0.65,0.655430711610487,0.656984785615491,0.654349499615088,0.66562091503268,0.665686274509804,0.664715719063545,0.666453342459503,0.654349499615088,0.688266199649737,0.702040887768676,0.692204301075269,0.678496868475992,0.685490877497828,0.687016337059329,0.722222222222222,0.735294117647059,0.734119875901444,0.74174636246554,0.748735648838108,0.718685831622177,0.722222222222222,0.735768524009995,0.722222222222222,0.721357907796787,0.731342813994463,0.732276719561346,0.761764705882353,0.779790628891656,0.805297168297693,0.810058474056925,0.818619655891554,0.807111111111111,0.834327764518695,0.875892857142857,0.875892857142857,0.840178571428571,0.843644544431946,0.840597758405978,0.849952516619183,0.872689938398357,0.874955011607994,0.912996777658432,0.878885316184352,0.876891522010438
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79166666666667,1.77470826387235,1.6737012987013,1.79125,1.87647058823529,1.74375,1.78571428571429,1.74722222222222,1.94117647058824,2.04878048780488,1.9,2.09054347826087,1.79356060606061,1.85
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10664479081214,0.999519692603266,1.04245854281826,1.02642276422764,1.07841726618705,1.0191753900681,0.963499468701811,0.974264705882353,1.03364478149747,0.993377483443709,0.95023033689346,0.956848030018762,1.02669020111254,1.01102941176471,1.06382978723404,1.04516445103543,1.08860967760058,1.09489051094891,1.11219946571683,1.11793611793612,1.12359550561798,1.12980072463768,1.13561415220294,1.12381440603887,1.11136079900125,1.13825363825364,1.1681706316653,1.21130551816958,1.21104185218166,1.20918785890074,1.21015138023152
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,1.02741277590484,1.00828729281768,1.03270223752151,1.02001351138751,0.973654066437572,1,0.994431185361973,0.902335456475584,0.863318785972418,0.861904761904762,0.858632380221327,0.87596048298573,0.929403288692999,0.925925925925926,0.887514446875108,0.928630546889922,0.94272076372315,0.91164095371669,0.92505676581978,0.934518241347053,0.942609312348272,0.930715935334873,0.9375,0.934518241347053,0.930585317460317,0.933409658384745,0.918390804597701,0.909090909090909,0.914522058823529,0.93143596377749,0.946969696969697,0.903771131339402,0.882575757575758,0.935294117647059,0.989672977624785,0.988467874794069,0.983606557377049,0.996420047732697,0.96542080525823,0.987801188859023,0.984413453650533,0.990384615384615,0.956900345373872,0.946969696969697,0.946969696969697,0.951432211101001,0.958677685950413,1.02277021919879,0.991524240555665,1.09648917829844,1.0594262295082,1.03835978835979,1.04875,1.07663620481118,1.06359649122807,1.09017854083136,1.03782506723157,1.12903225806452,1.1422625469128,1.16131737612766,1.16171003717472,1.16810334812612,1.08540579170918,1.09834558823529,1.09536454929539,1.13851992409867,1.1313789359392,1.11694510739857,1.15258511979823,1.02559666210982,1.1378896882494,1.18438761776581,1.17591125198098,1.16612641815235,1.19010659113855,1.18670886075949,1.19851575467428,1.19851575467428,1.29909706546275,1.39382691656317,1.22737556561086,1.36612021857923,1.31493506493506,1.2962962962963,1.29640570137401,1.33517495395948,1.34998885412743,1.28753443526171,1.30268595041322
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,0.778732545649839,0.805330243337196,0.786551095346339,0.779014206868357,0.771916214119472,0.761190476190476,0.777552400270453,0.808878115545949,0.761485799375318,0.790167865707434,0.792059748427673,0.791986159378402,0.784412955465587,0.79436964504284,0.792685838298751,0.847560975609756,0.915032679738562,0.873936764412527,0.875862068965517,0.869061413673233,0.850215723873442,0.872672563143977,0.863961813842482,0.863961813842482,0.863961813842482,0.85985401459854,0.856289936834296,0.857449088960343,0.843208288190683,0.833333333333333,0.811285183287677,0.833742230945371,0.839662977867203,0.834151128557409,0.832065503916532,0.847619047619048,0.869061413673233,0.878509012300572,0.872934800906215,0.881880642591609,0.861344537815126,0.860982932215707,0.863840585739246,0.902547065337763,0.877399341031377,0.935374149659864,0.935472309729261,0.904198232323232,0.933452840595698,0.960591133004926,0.963541666666667,0.943570767807586,0.972877358490566,0.968454223794781,1.01204318936877,0.968809383049702,0.996576036938244,0.992391304347826,1.04636920384952,1.05997210599721,1.05694433034859,0.997067188055457,1.01022668029112,1.0125,0.998913043478261,0.991902834008097,0.987229484822282,1.01139240506329,0.983526084082712,1.01578007742354,1.04936974789916,1.09585564360677,1.11519278940777,1.12903225806452,1.14028776978417,1.13786519438693,1.10216183247493,1.09970583360955,1.10176347193628,1.08136057019219,1.0997178829637,1.14,1.15155131264916,1.13225155558373,1.15231092436975,1.17375025002317,1.13420427553444
"Astoria","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72727272727273,2.66666666666667,2.75623342175066,2.77777777777778,2.75,2.82352941176471,2.85805046287893,2.85,2.875,2.8125,2.875,2.81818181818182,2.84848484848485,2.75288092189501,2.76769230769231,2.75,2.75,2.78338968723584,2.7,2.7615831842576,2.76466010733453,2.73504273504274,2.76923076923077,2.78759398496241
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",11,,,,,,,,0.698127925117005,0.73953488372093,0.726616143941497,0.733862986159437,0.747311827956989,0.696286184780725,0.698127925117005,0.75,0.728155339805825,0.731309308320992,0.763428571428571,0.747863247863248,0.741029641185647,0.750753012048193,0.710526315789474,0.67015625,0.660876757650951,0.695323488045007,0.70576375711575,0.712857142857143,0.706058682465792,0.74222668004012,0.724654678320676,0.75304235467848,0.76219512195122,0.748587570621469,0.735294117647059,0.728144308403775,0.735533237685318,0.749766573295985,0.756880983147266,0.773030303030303,0.767533412533413,0.772727272727273,0.791812859522034,0.793774319066148,0.801818031794928,0.804020100502513,0.774193548387097,0.754189944134078,0.752094972067039,0.758010851760852,0.772222222222222,0.77741935483871,0.815217391304348,0.8296875,0.810124653739612,0.790104166666667,0.795152807391613,0.802872119216774,0.810612244897959,0.81125,0.783295157068063,0.81,0.821845174973489,0.842222222222222,0.850646671146795,0.857142857142857,0.860467980295566,0.878616156911453,0.888730158730159,0.876811984632684,0.920087082728592,0.892857142857143,0.916372202591284,0.91530309767304,0.933736559139785,0.962064936662157,0.933333333333333,0.918005784221716,0.934139784946237,0.931263858093126,0.91883445945946,0.889269533055941,0.927142857142857,0.891786179921773,0.915384615384615,0.932937798380959,0.938725490196078,0.980443285528031,0.980392156862745,0.989569752281617,0.974075285852046,0.985385788173537,1.00401606425703,1.00578703703704,1.00578703703704,1.024,1.02168836291913,1.04189763488544,1.05966101694915,1.08428571428571,1.08148148148148,1.1090573012939,1.09185441941075
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",12,,,,,,,,,,,,,,,,,,,,0.926962886629185,0.935483870967742,0.918333333333333,0.909,0.911151405258386,0.917098445595855,0.927710843373494,0.929978448275862,0.927868852459016,0.959429824561403,0.971145713445318,0.967625899280576,0.979381443298969,0.960158223527002,0.979562789879762,1,1.02416918429003,0.997079621380846,0.998974358974359,1.00189035916824,1.00575539568345,1.01413600891862,1.01719575655294,1.01331360946746,1.05706267539757,1.04895104895105,1.06060606060606,1.0729109442715,1.07127555392337,1.06119791666667,1.05721726190476,1.05454545454545,1.05706267539757,1.06572199887809,1.07537012113055,1.09090909090909,1.10228554340396,1.10943805597744,1.10941405474828,1.09744460994228,1.09756097560976,1.11788617886179,1.08095238095238,1.09402654867257,1.10086956521739,1.10924369747899,1.12094395280236,1.13070539419087,1.13451957295374,1.16080808080808,1.15862068965517,1.18027049022042,1.18911870650172,1.20663650075415,1.21951219512195,1.2224142417021,1.2421875,1.23025407587328,1.21744791666667,1.26984126984127,1.32905982905983,1.27846153846154,1.23695648228804,1.23843416370107,1.27543103448276,1.28965517241379,1.32155410639749,1.29533678756477,1.32142857142857,1.31334588611206,1.32529875734265,1.32520891364903,1.32353503582775,1.32173913043478,1.29524446827294,1.30502040630978,1.31224986163409,1.31272727272727,1.31118881118881,1.30872483221477,1.33993399339934,1.3580905353313,1.34216589861751
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",13,,,,,,,,,,,,2.05341369157159,2.0056270096463,2.22636363636364,2.2793867120954,2.31970584753788,2.33116279069767,2.23350253807107,2.34463137060861,2.26480836236934,2.22604651162791,2.20713073005093,2.22478796169631,2.22187843784378,2.29399293286219,2.34375,2.22222222222222,2.19666795355329,2.22352941176471,2.16666666666667,2.25813692480359,2.26136363636364,2.33226152197213,2.35294117647059,2.42911947387651,2.39657407407407,2.45171673819742,2.46478873239437,2.40126448893572,2.48279252704031,2.46572769953052,2.55892255892256,2.58630952380952,2.47086927109758,2.45786516853933,2.33160621761658,2.49829467939973,2.47798078166071,2.4178375475368,2.395,2.42765491263263,2.47058823529412,2.40215264187867,2.59009713228492,2.625,2.65860028071396,2.59470994715754,2.57142857142857,2.71818181818182,2.62152777777778,2.66666666666667,2.67781690140845,2.55084050840508,2.57647058823529,2.70900881296921,2.61400772430184,2.60714285714286,2.66233766233766,2.68329011181463,2.64205128205128,2.61875,2.65159782608696,2.76432382955519,2.87638888888889,2.94832506203474,2.84090909090909,2.991875,2.97142857142857,3.05449330783939,3.38888888888889,2.99647473560517,3.11776061776062,2.84557692307692,3.03030303030303,3.01530348536705,3.06578947368421,3.11329479768786,3.1331592689295,3.27640394633885,3.33894993894994,3.29490746529949,3.33333333333333,3.3344682230869,3.27857142857143,3.22906155398587,3.18071242397915,3.17351598173516,3.21601941747573,3.21022348967003,3.2156368221942,3.22222222222222,3.17647058823529
