Author,Race
"Lolita Filesÿ(born 1963), author, screenwriter, and producer",African-American
Antwone Fisherÿ(born 1959),African-American
"Rudolph Fisherÿ(1897?1934), novelist, short story writer, dramatist",African-American
"Sharon G. Flakeÿ(born 1955), writer of young adult literature",African-American
"Robert Fleming, journalist and writer of erotic fiction and horror fiction",African-American
"Mary Weston Fordhamÿ(1844?1905), poet",African-American
"Leon Forrestÿ(1937?1997), novelist",African-American
"J. E. Franklinÿ(born 1937), playwright",African-American
Hoyt W. Fullerÿ(born 1923),African-American
"Nina Foxxÿ(born 1965), novelist, playwright & screenwriter",African-American
,African-American
G[edit],African-American
"Ernest Gainesÿ(born 1933), fiction writer",African-American
Marcus Garveyÿ(1887?1940),African-American
"Tony Gaskins, motivational, inspirational, self-help writer",African-American
"Henry Louis Gates, Jr.ÿ(born 1950)",African-American
Roxane Gayÿ(born 1974),African-American
Nikki Giovanniÿ(born 1943),African-American
"Roy Glennÿ(1914?1971), fiction writer,ÿIs It A Crime,ÿPayback",African-American
Donald Goinesÿ(1936?1974),African-American
Marita Goldenÿ(born 1950),African-American
"Edythe Mae Gordonÿ(ca. 1897?1980), poet, fiction writer",African-American
"Eugene Gordon (writer)ÿ(1891?1972), journalist",African-American
"Charles Gordoneÿ(1925?1995), playwright",African-American
Lawrence Otis Grahamÿ(born 1962),African-American
Moses Grandyÿ(born c.?1786),African-American
"Eloise Greenfieldÿ(born 1929), children's book author",African-American
"Sam Greenleeÿ(1930?2014), novelist, poet, best known as author ofÿThe Spook Who Sat by the Door",African-American
"Bonnie Greerÿ(born 1948), novelist, playwright, critic",African-American
"Deborah Gregory, author ofÿThe Cheetah Girlsÿbook series",African-American
Dick Gregoryÿ(born 1932),African-American
Sutton E. Griggsÿ(1872?1933),African-American
"Nikki Grimesÿ(born 1950), children's book author and poet[1]",African-American
Angelina Weld Grimkeÿ(1880?1958),African-American
Charlotte Forten Grimk‚ÿ(1837?1914),African-American
Rosa Guyÿ(1922?2012),African-American
"John Langston Gwaltneyÿ(1928?1998), anthropologist, author ofÿDrylongso",African-American
